majorAlleleFrequency	pValueASE	pValueHeterogeneity	geneID
0.629261985916127	0.23555	0.64219	Ldb3
0.916666666666667	0	NA	PRORSD1
0.666666666666667	0.68969	NA	ZNF365
0.999995951406121	0	0.83347	sult6b1
1	0	NA	CYP26C1
0.8	0.00058	NA	TBC1D12
0.527687296416939	0.361	NA	kif11
0.72760434727449	0.00846	0.00039	FOXG1
0.87299159401724	0	0	Kif20b
1	0	NA	Bicral
0.541257428495655	0.00212	0.01605	eml4
0.644194756554307	0	NA	NCOA4
0.791060136318195	0	0	apmap
0.720052267148773	0	0	yipf3
0.692750932344614	0	0	dnph1
0.846970857839584	0	0	fam45a
0.810556021670873	0	0.72276	dact2
0.740216399307436	0	0.00254	Mlh1
0.88037643007791	0	0.6399	LRRFIP2
0.914797091925474	0	0.02001	Herc4
0.539054393088763	0.96069	0.40617	fignl1
1	0	NA	TTL
0.7	0.21732	1	mocos
0.791666666666667	0.00666	NA	PCBP3
1	0	NA	eif3a
1	0	NA	SGPL1
0.999999713928921	0	0.85496	Pdlim1
1	0.00049	NA	RET
1	0	NA	CSGALNACT2
1	0	NA	SEC23IP
0.804235386715704	0.00268	0.0545	inpp5f
0.550287233452228	0.238	0.02864	mcmbp
0.552297616339534	0.33142	0.84988	TIAL1
0.642658749452545	0.64757	0.16003	MYPN
1	0	NA	CDC42EP3
0.910224768258216	0	0.02214	kmo
0.571428571428572	0.4859	1	Znf518a
0.906930921002638	0	0	HEATR5B
0.987321180797378	0	0.01337	Arid4b
0.999999997241268	0	1	Ggps1
1	1	NA	GPR137B
0.636363636363636	0.28697	NA	SIPA1L2
0.660786375753491	0	0	SPTBN5
0.885015278495053	0	0.00422	PACS1
1	0	NA	FAM160B1
0.960411942484254	0	0	fgfr2
1	0	NA	Vrk2
0.6	1	NA	OGFRL1
0.763157894736842	0	NA	SLC1A4
0.767441860465116	0.00064	NA	SERTAD2
0.529983937576274	0.78623	0.57918	XPO1
0.995951417004049	0	NA	TMEM254
0.5	1	NA	SPTLC3
1	2e-05	NA	TASP1
1	0	NA	FLRT3
1	0	NA	MGME1
0.6875	0.0517	NA	Glyat
0.607142857142857	0.0635	NA	NSMCE4A
0.599816494195732	0.08529	0.94681	TACC2
1	0	1	SLC29A3
1	4e-05	NA	tmem87a
1	1	NA	FBLN7
0.612541928004451	0.22232	0.26044	GOLGA4
1	0	NA	PPP1R21
1	0	NA	STON1
1	0.2493	NA	THBS2
1	0	NA	MAP3K4
1	2e-04	NA	KCNK1
0.562630532945805	0.92646	0.89859	FAM135A
0.564479180889872	0.50933	0.18327	FRMD6
1	0.00071	NA	RAB23
1	0	NA	ZNF451
0.697497367645047	0	0	DST
0.586668455322698	0.3964	0.07603	BMP5
0.999696616716847	0.25044	1	FAM83B
0.647184672586937	0.56156	0.96643	MLIP
0.588235294117647	0.62759	NA	LRRC1
0.582089552238806	0.02404	NA	fbxo9
0.777921777621908	0.33442	0.99194	ELOVL5
0.780487804878049	0.00034	NA	Mak
0.674418604651163	0.00143	NA	AP3M1
0.966810878114678	0.00012	0.08906	GSTA4
0.766369862598087	0	5e-05	chuk
0.74970975499705	0	0	erlin1
0.999999434397891	0	1	znf511
0.828123772332748	0	0.55148	Paox
1	0	NA	mtg1
0.544773061714506	1	0.83373	sprn
0.64108199035221	0.01838	0.00179	FUOM
0.555555555555556	1	NA	Gdf10
1	0	NA	RRP12
0.536585365853658	0.5816	NA	COX15
0.999853150716635	0	0.58099	LCORL
0.956521739130435	1e-05	NA	HPS1
0.567447969875679	0.99239	0.92062	PYROXD2
0.664250060302792	0	0	TTC31
0.552462964020551	0.26805	0.56652	slc25a28
0.999981590956592	0	0.99708	SLF2
0.55153951932135	0.09077	0.06419	PGAM1
0.680064851854303	0.00455	0.66858	marveld1
0.99998653716986	0	0.99757	Washc2
0.999999980552388	0	0.99709	Zfand4
0.612798259568547	0.01322	0.03421	TET2
0.673448053040369	1e-05	0.01813	SLC25A16
1	3e-05	NA	STOX1
0.66788684954855	0.00875	0.11015	NFU1
0.622001256945465	0.03783	0.08656	SFXN1
0.701560359457047	0.11111	0.0136	Sema4g
0.746049771171142	0	0	XPO5
0.567940057230377	0.12223	0.03997	TP53BP2
0.684622318410698	0.00059	0	PARG
0.555555555555556	1	NA	RGR
0.828684826765945	0	0	pax2a
0.950940668510752	0	0	PPA1
0.695616904459826	5e-05	0	ZMIZ1
0.667757380481826	0.1502	0.19037	Ppif
0.547639328582034	0.06594	3e-05	ANXA11
0.646249146436216	0.24991	0.62995	POLH
0.666666666666667	0.00057	NA	Gtpbp2
0.666666666666667	1	1	OTOR
0.889381023986466	0.00292	0.43708	DKK1
0.987951382717975	0	0.00473	MINPP1
0.86	0	NA	Sgms1
0.596484444864849	0.91829	0.6919	FAS
0.733959200455466	0	0	GSTO1
0.676454692892177	0.01054	3e-05	sfr1
0.575479016680516	0.54683	0.1522	sh3pxd2a
1	0	NA	ADD3
1	0.06181	NA	Edrf1
0.763909003261928	0	0.00938	fam53b
0.614391282818151	0.28795	0.491	Hmx2
0.574395943820583	0.68836	0.69715	DACH1
0.539416539948729	0.89955	0.70521	UBAC2
0.636363636363636	0.54558	NA	ANK3
0.5	1	NA	FAM13C
0.766657739235427	0.01831	0	bicc1-b
0.559767657444162	0.90336	0.71489	phyhipl
0.528786146629111	0.86001	0.7389	WAPL
0.5	1	NA	RGS17
0.739130434782609	0.03426	NA	MAP3K21
0.583759639411986	0.53597	0.31941	ifngr1l
0.761673583832438	0	3e-05	zbtb18
0.673073680142035	0.00048	0.04561	Sdccag8
1	0.03109	NA	Akt3
0.749179821051291	0	0.62723	SDHAF4
0.67560825298136	0.00762	0.38374	dync2li1
0.516302468858787	0.30523	0.042	HINT1
0.628722474402664	0.0047	0.02136	lyrm7
0.513157894736841	0.90658	NA	lrpprc
0.864607908657937	0	0.33033	Znhit2
0.695300887011284	0	0.00025	prepl
0.514702185464282	0.9546	0.53432	Six2
1	0	NA	CCDC88A
0.625608527765066	0.00165	0	Synpo2l
0.6	0.75537	NA	MYOZ1
0.615279379680714	0.01578	0.01478	desi2
0.711886512935411	0.00525	0.52123	MTRF1L
0.551228460730381	0.19566	0.54351	fbxo5
0.555575709163466	0.90504	0.92975	ANAPC1
1	0	NA	MRPS5
0.543856882201737	0.8373	0.7685	MAL
1	1e-05	1	SLC8A1
0.560010943061105	0.90648	0.9004	Slc8a1
0.570772169395854	0.63546	0.48768	Map4k3
0.69090973834169	2e-05	7e-05	THUMPD2
0.576174059927899	0.29264	0.92929	SLC17A5
0.885714285714286	0	1	wdr92
0.748829953198128	0	NA	pno1
0.651162790697674	0.00667	NA	C1D
1	0	NA	Ciao2b
0.670568733591394	0.00085	0.00151	GPR155
0.99999183714213	0	0.91972	NDST2
0.999996273642914	0	1	ZSWIM8
0.638888888888889	0.13312	NA	cdt1
1	0	NA	CDH1
0.856939051996341	0	0	pomgnt2
0.853591226641055	0	0.001	SLC2A9
1	0	NA	CEP68
1	0	NA	rnf166
1	0	NA	Hebp2
0.523818958688929	0.30734	0.39822	NPEPL1
0.999998876392604	0	0.83962	TTC27
0.999991683807468	0	0.72815	exo1
0.681818181818182	1e-05	NA	Atp6v1b2
1	0	NA	pitx3
0.557111786375455	0.12007	0.02023	GATAD2A
0.571428571428572	0.66346	NA	ARV1
1	0	NA	Cept1
1	0	NA	CFH
0.978617632068083	0	0	SLC6A15
0.714893835134061	0.3269	0.65546	Cspg4
0.664891776889346	0.05577	0.01641	SPG11
0.999998985939324	0	0.89877	NFATC3
0.591500614022516	0.52174	0.27725	PDCD2L
1	0	NA	Dus2
0.689021593037841	0	0.96394	rpl27a
0.601028167931259	0.67171	0.8335	Bhlhe41
0.527139617827127	0.91838	0.6607	SSPN
0.556097560975609	0.12462	NA	K-RAS
0.571549474896877	0.57055	0.41658	EEA1
1	0	NA	PLEKHG7
0.726940925106605	0	0	PPFIBP1
0.851209140881354	0	4e-05	ARNTL2
1	0	NA	ric8b
0.553527959389617	0.86569	0.47516	SIRT3
1	0	NA	klhdc10
0.999659384656488	0	0.39483	FBXL13
0.9999717934256	0	0.73088	FAM185A
1	0	NA	Armc10
0.928969476541225	0	0	RSBN1L
0.999991615719838	0	0.74094	Prr5
0.589194285644947	0.40841	0.65529	Erc1
0.719311120960503	0	0.00031	Fbxl14
0.889959097756656	0	0	gse1
1	0	NA	CHKA
0.999999543570241	0	1	Arsa
0.574440515944281	0.61676	0.70037	polg
0.645924469715214	0.00161	0.29196	RCCD1
0.75	0.2903	NA	gdpgp1
0.592947324897074	0.61659	0.4342	MAN2A2
0.657011369090082	0.11527	0.10716	furin
1	0	NA	Pdhx
0.714285714285714	0.18139	NA	IRF3
0.533181867586882	0.81492	0.16171	TSG101
0.512914117213257	0.99086	0.85529	ldha
1	0	NA	Abtb2
0.555104268033264	0.07079	0.63988	CPT1A
0.68075140154446	0.00039	0.02796	Usp6nl
0.746814147557448	0.23422	0.96141	uevld
0.777777777777778	0.17898	NA	Ptprj
0.583406558097371	0.16394	0.22996	OSBPL5
0.89550951819573	0	0	GPCPD1
1	0.03149	NA	TFPI2
0.993221999275917	0	0.00057	PLXNB1
1	0	NA	lmo4.1
0.999999958676779	0	0.87401	Cpa2
0.999423046578816	0	0.24996	ANKRD50
0.814814814814815	0	NA	sestd1
0.5	1	NA	znf385b
0.772754002775921	8e-04	0.00435	Itprid2
0.512396694214876	0.85662	NA	neurod1
0.869744267256175	0	0.00037	ITGA4
0.694942877144027	0	0.07432	MED14
0.625270120312106	0.57481	0.72719	STAG2
0.656193634932578	0.00016	0.06245	ASMTL
0.5	1	NA	NALCN
0.852658892549238	0	0.53526	Tbc1d4
0.709677419354839	0.02917	NA	commd6
0.676898978660215	0.00013	0	LMO7
0.652638515193985	2e-05	2e-05	gatd3a
0.677197817921433	0.00062	0.03155	Mycbp2
0.826086956521739	0.00258	NA	katnal1
0.686217269927157	0	0	Arhgef7
0.733379073498058	0.04524	0.18505	ATP11A
0.678750354398263	0.03374	7e-05	RCBTB1
0.555555555555556	0.70179	NA	PHF11
1	1	NA	filip1l
0.53932584269663	0.52398	NA	DCBLD2
0.8	0	NA	Dcbld2
0.828013893632493	0	0.09223	ATP6AP2
0.999999590574477	0	0.87585	BCOR
0.9375	0.00047	NA	jagn1a
0.684737822166646	0.0125	0.38937	Cep97
0.5	1	1	nxpe3
0.814170940485062	0	0.05435	Me3
0.719500334601009	7e-05	0.48288	DCAF6
0.714573246861855	0	0.6093	Gpr161
0.653738335134152	0	0.00195	OTC
0.8	0.03556	NA	Piga
0.79481281817842	0.29779	0.20304	XK
0.549120313398846	0.54538	0.6951	SRPX
0.740523619225123	3e-04	0.44734	ildr1
0.557164013697371	0.00671	0.01826	TFDP1
0.90625	0	NA	Jam2
1	0.00021	NA	st6gal2
0.743482192228061	0	0.16431	tmem182
0.79072782766547	0	0.00219	qqqqqqqqqqqqq
0.860433226858582	0	0	IUNH
0.703891010764344	0	0	REV1
0.653246997112075	0	0	KIAA1211L
0.518518518518519	1	NA	Mitd1
0.580246913580247	0.01452	NA	TXNDC9
0.569248235925256	0.24011	0.10789	MRPL30
0.9	0	NA	pou2f1
0.907108596421156	0	0	app
0.71969696969697	0	NA	GABPA
0.635715684083709	0.48562	0.28722	SIK2
0.622911984413811	1e-04	2e-05	naxd
0.864028771641482	1e-05	0.01182	ANKRD10
0.697817754347301	0	0.27942	Col4a2
0.8	3e-05	NA	Irs2
0.806763008194755	0	0.09653	Igsf3
0.734042553191489	0	NA	Tbl1x
0.601593240167517	0.15021	0.00657	GPR143
0.8	0.11077	NA	Asb9
0.668003634510035	0.03341	0.17439	ASB9
0.896467140809351	0	0	ofd1
0.594300174169892	0.34076	0.10287	COG3
0.666747174716741	3e-05	0.45514	DCT
0.985325828646333	0	0.00158	CLDN10
0.761794050988462	0	0	DNAJC3
0.681044421664652	0	0	COL28A1
0.786282598945956	0.01624	0.01883	bbs5
0.667633477685922	0.00766	0.0075	fastkd1
0.815747720225148	0.04682	0.25453	klhl41a
0.69041769041769	0	NA	PHGDH
0.816576606813259	0	0.76693	SSB
0.723598004380077	0	0.05359	METTL5
0.597987374428079	0.32983	0.00011	GAD1
0.999999999972114	0	0.9409	TLK1
0.719887876197244	0.00545	0.55037	dcaf17
0.584675957868075	0.67892	0.22511	mettl2a
0.986458511900719	0	0	SLC25A12
0.651825489516793	0	0	DYNC1I2
0.665623672892014	0.41376	0.52145	ITGA6
1	0	NA	NUP62
0.619047619047619	0.1641	NA	dlx1a
0.515163299362878	0.94563	0.70507	SP3
0.691557709059298	0	9e-05	CIR1
0.6182094191607	0.1235	0.03275	scrn3
0.604467863293015	0.28813	0.72511	sp9
0.657884304600875	0.00264	0.12804	CHN1
0.590267139983234	0.493	0.55663	ATF2
0.91273852919069	0	0	NFE2L2
0.75	0.04157	NA	AGPS
0.581502674275979	0.02148	0.00028	prkra
0.826702756980241	0	0.13262	Ino80d
0.648767625145855	0	3e-05	NDUFS1
0.792452830188679	3e-05	NA	STK24
0.787663566906685	0	0.00027	Dock9
0.58974358974359	0.33795	NA	Farp1
0.956521739130435	0	NA	Rdh7
0.626080552732567	0.33138	0.2581	CERS6
0.576271186440678	0.11572	NA	Spc25
0.839594108249723	1e-05	1e-05	XIRP2
0.587591662483395	0.06135	0.02615	Cobll1
0.567032833459884	0.50188	0.30444	DPP4
0.660219646963679	0	0.0109	RBMS1
0.639344262295082	0.04008	NA	CD302
1	1e-05	NA	TBR1
0.911111111111111	0	NA	PKP4
0.762594238474954	0	0	ACVR1
0.604651162790698	0.02167	NA	Gm11992
0.59034773558922	0.24127	0.37921	Galnt5
0.811448631858782	0	0	FMNL2
0.593227173077458	0.09765	0.00103	GLB1
0.821693681075126	0	0.00041	ANKZF1
0.570675100109638	0.82565	0.82973	ehhadh
0.662813032185256	0.48268	1	si:dkeyp-30d5.1
0.652645204534192	0.00015	0.92254	XRCC5
0.68780541608414	1e-05	0	TMEM169
0.853725740397442	0	0	Map3k13
0.988778187713464	0	0.35719	Dip2a
0.567567567567568	0.51123	NA	cd99l2
0.800409699504061	0.20458	0.64342	ihhb
0.887031266210787	7e-05	0	Ptprn
0.53449483004425	0.71749	0.09404	tmem198b
0.745393539244809	0.01155	0.72044	ABCA12
0.625271164178783	0.06483	0.85869	POFUT2
0.56	0.69137	NA	Cps1
0.689182879573716	0.00315	0.84574	Twist2
1	0	NA	ACVR2A
0.700498511713313	0	0.00036	KIF5C
0.804237293704744	0.18004	0.48033	ARHGAP15
0.929474797194992	0.00012	8e-05	traf3ip1
0.652699852803307	0.27872	0.05755	ASB1
0.509803921568626	0.92016	NA	AGR3
0.833333333333333	0.21926	NA	Mgat5
0.556412451096021	0.14315	0.03453	tmem177
0.579953781576238	0.00213	2e-04	FN1
0.568754381215046	1e-04	0.04224	UMPS
0.545454545454545	1	NA	wnt10a
0.574513724307395	0.01153	0.0672	MYO1B
0.5	1	NA	GTF2E1
0.732918005965432	0.10899	0.45501	Mcpt4
0.615384615384615	0.57895	NA	rabl3
0.999990496791257	0	0.81244	CXCR4
0.572284574641722	0.46098	0.42795	gmppaa
0.88607865785876	2e-05	0.1487	Chpf
0.817040779544352	0	0	PDXK
0.894736842105263	0.00075	NA	hacd4
0.585576176994463	0.06551	0.19101	TSPAN5
0.838523930539846	0	0.0067	ACO1
1	0.49926	NA	ALS2
0.772727272727273	3e-05	NA	TSC22D1
1	0	NA	RANBP2
0.689655172413793	0.06069	NA	LIMS1
0.857142857142857	0.1247	NA	grx2
0.571428571428572	1	NA	VGLL3
0.506756756756756	0.93378	NA	CHMP2B
0.830257963935224	0	0.00968	znf148
0.652627617452718	0.00157	0.00164	heg
0.620849371238806	0.18251	0.10648	STAT1
0.835857918983427	0	0	wdr75
0.5	1	NA	COL6A3
0.999999397798584	0	0.99862	Ddx18
0.898465043380241	0	0	Gk
0.557377494953255	6e-05	0.01703	nifk
0.599941303450842	0.74262	0.63831	TFCP2L1
0.676465766088607	0.03075	0.12276	INHBB
0.526315789473684	0.64013	NA	ddt
0.828336311574055	0	0	PMS1
0.52776187381171	0.87008	0.82734	Gls
0.521739130434783	1	NA	adat3
0.655611284259714	0	0.00239	Fkbp7
0.743136066775266	0.04629	0.032	Bmpr2
0.741903578237504	0	0	CEP250
0.715786878336365	0.21286	0.4356	Il10rb
0.724426520334274	0.00064	0.1056	ifnar2
0.819616796524849	0	1e-05	arglu1
0.51923076923077	0.76657	NA	efnb2a
0.68675290409488	0.00163	0.99994	gtpbp8
0.917007708349189	0	0.00066	HSPA12A
0.915642324586993	0	0	hibch
0.821253389712087	0	0	MCM3AP
0.808143960047615	0	0	usp37
1	0.12252	NA	plcd4
0.562647548007579	0.76802	0.73544	bcs1l
0.634446398431859	0.00039	0.00239	TNS1
0.666498481749747	0	0	col2a1
0.601961201624851	0	0.33509	Col18a1
0.850216416311424	0	0.00068	speg
0.999999999985	0	1	Cavin2
0.549546959821032	0.54347	0.79001	nabp1
0.999999257657764	0	0.87479	slc39a10
0.764163733981072	0.0059	0.02322	esyt3
0.999742798353909	0	NA	CTSL
1	0.00012	NA	cbr4
0.725958418069734	0	0	dlx2a
1	0	NA	MANBA
0.555555555555556	1	NA	c3ar1
0.917825711868157	0	0	NUDC
0.639344262295082	0.03961	NA	Gpc6
0.645390070921986	8e-04	NA	COPS6
0.727625765563396	1e-05	0.00125	Bod1l
0.705882352941176	0.1426	NA	FBXL12
0.602528211325905	0.26875	0.00567	Tbx22
1	0.25049	NA	AGTR2
1	0	NA	ACSL4
1	0	NA	cystm1
0.785368875746756	0	0.27424	Hmmr
0.767441860465116	0	NA	Lonrf3
0.782307462158015	0	0.04803	ATAD2
1	0	NA	sdha
1	0	NA	PSMA2
0.6	1	NA	Mog
0.886911324376598	0	0	ITSN1
0.552343054991378	0.00793	0.19947	FSTL1
0.563667910760764	0.00339	0.1268	RBM45
0.837539150074397	0	0	CDH11
1	0.12499	NA	Kdf1
0.695652173913044	0.09268	NA	GFRA1
0.68	0.10774	NA	EPAS1
0.893053819537865	0	0.00052	Znf271
0.6	0.60765	NA	Ncoa2
0.999964401953429	0.03138	1	Gdf15
0.545488530604636	0.58669	0.69161	Csnk1g2
0.904761904761905	0	NA	zbtb33
0.881858686166638	0	0	NSNH
0.896070880513871	0.00012	0.00405	arid5b
0.624183044687569	0.50239	0.9446	DNAJC16
0.842105263157895	0.00423	NA	Casp9
0.999999257657764	0	0.87357	PHKA1
0.813253012048193	0	NA	Col4a1
1	1	NA	Btnl10
0.999647865307976	0.06087	0.81183	Pik3ca
0.99999993136473	0	0.98164	SF3B2
0.704545454545455	0.00952	NA	CAPN1
0.559973523895314	0.20955	0.24836	RBM4
0.736025313304135	8e-04	0.00177	Ccs
0.527614292932905	0.73453	0.44828	actr2a
0.999975589239113	0	0.96568	Clcn3
0.613126591280718	0.27661	0.06587	b4gat1
0.999813735909465	0	0.3733	MFAP3L
0.600019678928751	0.45392	0.07072	intu
1	0	NA	AADAT
1	0	NA	F13a1
0.61563326814975	0.00167	0.3588	Tex261
1	0	NA	Pik3c3
0.939723875092279	0	0.00145	Gba2
1	0.01523	NA	faah2a
1	0	NA	GMPR2
1	0	NA	Slc7a8
0.760068193694417	0.00117	0.03114	Man2b2
1	6e-05	1	CLDN15
0.998383301520602	0	0.56507	SALL2
1	1	NA	Slc7a7
0.999999964533234	0	0.98895	Oxa1l
0.999999987252375	0	0.95512	DHRS4
0.999064914828267	0	0.8136	ACIN1
0.999999972586969	0	0.98995	Mmp14
1	0	NA	Lrp10
0.966104149323867	0	0.00385	USP18
0.523809523809524	1	NA	TBC1D19
1	0.03051	NA	PCDH7
0.528185529654652	0.63462	0.38629	ATP6AP1
0.742964197595825	0	0	Gdi1
0.793031272770974	9e-05	0.69403	Msantd1
0.941519269803592	0	0.00134	Tnk2
0.61442897441177	0.14067	0.33767	trmt44
0.757575757575758	0.00428	NA	phf23b
0.705882352941176	0.1422	NA	ctdnep1a
0.8	0	NA	elp5
1	1e-05	NA	SLC2A4
0.90742797873711	0	0	POLR2A
0.949880580716751	0	0.00045	HDLBP
0.524752475247525	0.69102	NA	Trip6
1	0	NA	Bcl6b
1	0.03167	NA	SLC16A13
1	0	NA	irs1-b
0.998459316116646	0	0.02766	AGFG1
0.994845360824742	0	NA	ACADVL
1	0	1	PER1
1	9e-05	NA	DMRTA1
0.922922323896699	0	0	TYRP1
0.680555555555556	0.00307	NA	Lurap1l
0.979794777208755	0.00273	0.79467	SYNPO2
0.928760231838771	0	0	SEC24D
0.999968619051404	0	0.8328	adgra3
0.5	1	NA	LGI2
0.981295233626208	0	0.00021	DENND4C
0.999999996801353	0	1	PLIN2
1	0.24905	NA	NFIB
1	0	NA	rcor2
0.736842105263158	0.06266	NA	Sema4f
0.8	0.10935	NA	SYT4
1	0	NA	dctn1
0.713437982387254	0	0.32232	KDM6B
1	0.00015	NA	MB21D2
0.99999982532854	0	1	chrnb1
0.750494599480866	0.25147	0.56389	cldn7a
0.999977640004535	0	0.98233	mus81
1	0.06133	1	OVOL1
1	0.12441	NA	Gvin1
0.999999918323015	0	1	cmas
0.735307361492714	0	0	Znf638
0.723638501694346	0.08024	0.14912	DYSF
0.819371140356791	0	0.68242	cyp26b1
0.832147935479065	0	9e-05	Tkfc
0.627693103559982	0	0	ZNF638
0.864989636507783	0	0.01195	tmem55bb
0.750982629043545	0.01955	0.00038	ZDHHC3
0.834149746040138	0	0	STK26
0.666666666666667	0.30134	NA	GAB1
0.999986898138536	0	0.6824	CLCN5
0.914044283312291	0	0	TNFSF10
0.665622207267165	0.00035	0	Prss8
0.607165204781127	0.06052	0	DGKD
0.984181138028038	0	8e-05	Rab38
0.65	0.26336	NA	TRIM27
0.749608763693271	0	NA	Vbp1
0.999967576024965	0	0.98593	n4bp1
0.608722701957609	0.02232	0.39762	CYLD
0.977972919449156	0	0.149	lpcat4
0.562051638494852	0.08583	0.58415	emc4
1	0	NA	SLC12A6
0.912382184555889	0	0	SUPT16H
0.82689762302893	0	0	tox4-b
0.964505794232998	0	0.00758	ARHGEF11
0.784263324887785	0	0.36353	Rrn3
0.813351042411571	0	0.12716	dnajc25
0.809087378835648	0	0	btf3l4
0.537848605577689	0.25584	NA	Txndc12
0.888888888888889	0.03917	NA	TRIM21
0.708418768364915	0.00741	0.00074	Ppp1r3g
0.676923076923077	0.00585	NA	Usp42
0.719970540725252	0	0.37448	nusap1
0.758620689655172	0.00831	NA	Oip5
0.551094094613831	0.85486	0.80255	pxylp1
0.629316165425316	0.04629	0.00109	slc25a36a
0.58609429589495	0.16997	0.19206	Spsb4
